Card Type,Card Name ,Employee Count,Revenue Per Employee,Expense Per Employee,Overhead Cost,Overhead Cost Percentage Revenue,Overhead Cost Percentage Expense,Overhead Costs Reduction Percentage,Overhead Cost Per Employee,Risk,Growth,Turnover,Hires,Fines,Excess Hires,Revenue Per Employee Percentage ,Expense Per Employee Percentage,Capital
Business Card,Daves Heating and Cooling,15,160000,100000,250000,,,,,15,2,6,6,,,,,
Business Card,Helping Hands Home Care,32,80000,55000,150000,,,,,20,10,25,30,,,,,
Business Card,F&N Machining,20,150000,90000,500000,,,,,10,2,10,10,,,,,
Business Card,Smart Software,8,250000,140000,200000,,,,,5,2,2,3,,,,,
Business Card,Harden Manufacturing,13,250000,160000,500000,,,,,10,2,7,9,,,,,
Business Card,G & H Accounting,10,200000,"115,000",200000,,,,,5,1,4,4,,,,,
Business Card,Wired Electric Services,10,200000,115000,150000,,,,,10,5,4,4,,,,,
Business Card,Klaus Animal Clinic,13,175000,100000,350000,,,,,15,2,4,4,,,,,
Business Card,Hope Health Clinic,7,275000,130000,400000,,,,,10,1,2,2,,,,,
Business Card,Jans Car Dealership,20,150000,95000,250000,,,,,10,2,10,8,,,,,
Business Card,Julies Professional Services,16,150000,"100,000",150000,,,,,5,2,5,5,,,,,
Business Card,Small Construction,20,140000,"90,000",200000,,,,,15,2,7,5,,,,,
Business Card,Hometown Dentistry,12,160000,"85,000",250000,,,,,5,1,5,5,,,,,
Business Card,Daves Engineering ,12,200000,"120,000",250000,,,,,10,1,5,6,,,,,
Business Card,Home Realtor,10,175000,"100,000",150000,,,,,5,1,4,4,,,,,
Skill Card,Chief Financial Officer,,,,200000,,,,,-5,,,,,,,-0.1,
Skill Card,Financial Controller,,,,120000,,,,,-5,,,,,,,-0.05,
Skill Card,Payroll Administrator,,,,"85,000",,,,,-5,,,,,,,-0.05,
Skill Card,Beneifts Administrator,,,,"85,000",,,,,-5,,,,,,,-0.05,
Skill Card,Recruiter,,,,"100,000",,,,,-5,,,20,,,,,
Skill Card,Regional Sales Manager,,,,"150,000",,,,,,5,,,,,,,
Skill Card,Sales Representative,,,,"100,000",,,,,,3,,,,,,,
Skill Card,Marketing Manager,,,,"120,000",,,,,,4,,,,,,,
Skill Card,Marketing Associate,,,,"85,000",,,,,,2,,,,,,,
Skill Card,Chief Operations Officer,,,,"200,000",,,,,,,-2,,,,0.1,,
Skill Card,Operations Manager,,,,"120,000",,,,,,,-2,,,,0.05,,
Skill Card,Quality Manager,,,,"120,000",,,,,,,,,,,0.05,,
Skill Card,Procurement Manager,,,,"120,000",,,,,,,,,,,,-0.05,
Skill Card,Legal Counsel,,,,"175,000",,,,,-30,,,,,,,,
Skill Card,Customer Service Administrator,,,,"70,000",,,,,,1,,,,,,,
Skill Card,Software Engineer,,,,"130,000",,,,,,,,,,,0.1,,
Skill Card,Software Administrator,,,,"100,000",,,,,,,,,,,0.05,,
Resource Card,Fractional CFO,,,-0.1,,0.03,,,,-5,,,,,,,,
Resource Card,Payroll Software,,,,,,,,200,-5,,,,,,,-0.05,
Resource Card,Human Resources Outsourcing,,,,,,,,1000,-10,,-3,3,,,0.05,-0.05,
Resource Card,Recruitment Agency (1),,,,,,0.2,,,,,,,,,,,
Resource Card,Recruitment Agency (2),,,,,,0.4,,,,,,,,,,,
Resource Card,Recruitment Agency (3),,,,,,0.6,,,,,,,,,,,
Resource Card,Recruitment Agency (4),,,,,,0.8,,,,,,,,,,,
Resource Card,Recruitment Agency (5),,,,,,1,,,,,,,,,,,
Resource Card,Recruitment Agency (6),,,,,,1.2,,,,,,,,,,,
Resource Card,Recruitment Agency (7),,,,,,1.4,,,,,,,,,,,
Resource Card,Recruitment Agency (8),,,,,,1.6,,,,,,,,,,,
Resource Card,Recruitment Agency (9),,,,,,1.8,,,,,,,,,,,
Resource Card,Recruitment Agency (10),,,,,,2,,,,,,,,,,,
Resource Card,Recruitment Agency (11),,,,,,2.2,,,,,,,,,,,
